bris
Flisa
Grisa
Kisa
Krisa
Leasa
Prisa
Risa
Spisa
Visa
Avisa
beprisa
Bespisa
Bevisa
Förlisa
Förvisa
koncisa
precisa
dubblett
noggrann
godkänns
noggrant
godkänt
omdöme
omständlig
hittills
original
kassett
parallell
kommitté
professionell
mellanskillnad
successiv
ytterligare
hyponeurikostiskadiafragmakontravibrationer 
